text,label
"This product is excellent and works great!",positive
"I love this item, highly recommended",positive
"Amazing quality and fast delivery",positive
"Best purchase I've made",positive
"Great value for money",positive
"Outstanding performance",positive
"Very satisfied with my purchase",positive
"Fantastic product",positive
"Wonderful experience",positive
"Perfect, no complaints",positive
"This is terrible and broken",negative
"Waste of money",negative
"Very disappointed with quality",negative
"Does not work as advertised",negative
"Poor customer service",negative
"Arrived damaged",negative
"Complete disappointment",negative
"Not worth the price",negative
"Defective product",negative
"Would not recommend",negative
