date,value
2025-11-27,51,68
2025-11-28,46,91
2025-11-29,47,26
2025-11-30,51,73
2025-12-01,48,68
2025-12-02,50,13
2025-12-03,55,24
2025-12-04,53,63
2025-12-05,50,74
2025-12-06,57,11
2025-12-07,52,35
2025-12-08,53,07
2025-12-09,56,06
2025-12-10,54,7
2025-12-11,55,81
2025-12-12,55,1
2025-12-13,58,17
2025-12-14,53,85
2025-12-15,62,14
2025-12-16,60,27
2025-12-17,58,97
2025-12-18,57,02
2025-12-19,56,9
2025-12-20,63,55
2025-12-21,65,16
2025-12-22,62,9
2025-12-23,58,44
2025-12-24,65,61
2025-12-25,60,48
2025-12-26,68,56
2025-12-27,66,93
2025-12-28,65,66
2025-12-29,62,86
2025-12-30,61,92
2025-12-31,65,08
2026-01-01,68,33
2026-01-02,71,21
2026-01-03,63,54
2026-01-04,69,36
2026-01-05,72,55
2026-01-06,72,48
2026-01-07,69,35
2026-01-08,67,49
2026-01-09,66,76
2026-01-10,67,51
2026-01-11,75,32
2026-01-12,74,26
2026-01-13,69,65
2026-01-14,71,5
2026-01-15,77,22
2026-01-16,72,9
2026-01-17,76,98
2026-01-18,72,44
2026-01-19,71,94
2026-01-20,78,05
2026-01-21,77,66
2026-01-22,73,51
2026-01-23,77,7
2026-01-24,81,07
2026-01-25,80,78
2026-01-26,77,18
2026-01-27,75,63
2026-01-28,79,65
2026-01-29,79,17
2026-01-30,77,69
2026-01-31,84,68
2026-02-01,78,71
2026-02-02,83,14
2026-02-03,79,12
2026-02-04,87,48
2026-02-05,84,39
2026-02-06,85,63
2026-02-07,86
2026-02-08,81,59
2026-02-09,90,29
2026-02-10,82,63
2026-02-11,83,03
2026-02-12,84,14
2026-02-13,90,54
2026-02-14,84,85
2026-02-15,94,14
2026-02-16,94,79
2026-02-17,90,61
2026-02-18,90,25
2026-02-19,93,17
2026-02-20,87,94
2026-02-21,91,73
2026-02-22,89,92
2026-02-23,93,37
2026-02-24,97,42
2026-02-25,95,32
2026-02-26,94,51
2026-02-27,93,97
2026-02-28,100,57
2026-03-01,97,87
2026-03-02,99,85
2026-03-03,93,19
2026-03-04,102,32
2026-03-05,103,58
2026-03-06,97,83
